# NodeID	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	_id	OutDeg	Pagerank
puP5zndTWr2jWJ5Suw	28755821	16	0	25.095277	121.518277				Ft.LjmFTUboW_X6D	2306179	Taipei City	kZ.VzD5TUroWMEpS0w	20070568	Taipei City	XYmIoKpTUrqV3vcCsg	20070333	Taipei City	FnYzsLVTUb7w3bcfIg	23424971	Taiwan	480	1	0.000002
ufZ7mJRQW7zzPd5W	1967253	13	0	32.052389	34.753103				RaZZuVZQW7xqJM2P	1968212	Tel Aviv				0QJVv.1TUb6Bl4Ew	2345795	Tel Aviv	7UA7SU5TUb71bzkMVw	23424852	Israel	481	1	0.000002
Z671_KlTUrqUfBRUwg	20095437	16	0	48.188481	16.343573				vyIUe41UV7uao.Y	551801	Vienna	TjMOcCdQUL.60NqK6g	12591699	Vienna	fcmfMChTUb4nZsOX	2344716	Vienna	rSA5zEBTUb4nNhY79w	23424750	Austria	482	1	0.000002
IV9VVR1QUbzMZkE	136973	13	0	20.633306	-87.063603				IV9VVR1QUbzMZkE	136973	Playa del Carmen	XotEgmtTVr8BJepD7A	24550675	Solidaridad	Me3qKpFTUb4kYiZN	2346286	Quintana Roo	S._RoQ1TUb4WzNIdpA	23424900	Mexico	483	1	0.000003
yiD8m1xTUb.98NmRiQ	23512179	15	0	36.103486	-115.172359				zqjUHGRTVrmcbLw_	2436704	Las Vegas	nrSSo6xQUL_1Yna37w	12589233	Clark	74EpaYdTUb5b2WdO	2347587	Nevada	nz.gsghTUb4c2WAecA	23424977	United States	484	2	0.000004
uUy_JV1QULzV8WNTYA	12678947	16	0	39.089651	8.487711				uUy_JV1QULzV8WNTYA	12678947	San Giovanni Suergiu	7k1m4iRTWrlewomBkg	28301713	Carbonia-Iglesias	i9H3bq9WU7_rB3T7	7153343	Sardinia	5QqgvRVTUb7tSzaDpQ	23424853	Italy	485	1	0.000002
zchtPtxTVr.ZcPGl	2455076	16	0	32.880495	-116.419845				zchtPtxTVr.ZcPGl	2455076	Mount Laguna	jomuPC9QUL_Ei9HSMA	12587706	San Diego	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	486	1	0.000002
ZfJMOmpQUL.nZaUi5Q	12581908	16	0	-22.904799	-47.078647							ZfJMOmpQUL.nZaUi5Q	12581908	Campinas	RANHF.pTUb7n07l1	2344868	Sao Paulo	xQfoS31TUb6eduaTWQ	23424768	Brazil	487	1	0.000003
OuNY0M1TVrKZdNGg	2487129	14	0	44.947882	-93.109517				OuNY0M1TVrKZdNGg	2487129	St. Paul	PpmHxwtQUL_h4OpyKw	12588858	Ramsey	nQHRI5hTUb6BzMQh	2347582	Minnesota	nz.gsghTUb4c2WAecA	23424977	United States	488	1	0.000003
4JTDp4NTVrvuP6LX	2413945	13	0	38.920588	-105.025177				4JTDp4NTVrvuP6LX	2413945	Green Mountain Falls	xilTXTpQUL.iaYjTlw	12587747	El Paso	Tz5TbMVTUb6cLY9f	2347564	Colorado	nz.gsghTUb4c2WAecA	23424977	United States	489	1	0.000002
yS90zohTWrOI02kvfg	28995493	16	0	48.102706	16.319311				yS90zohTWrOI02kvfg	28995493	Saoedstadt	ItIgHhRQUL.FRUkcoQ	12591682	Mödling	LiRbOx5TUb7d5nf.	2344710	Lower Austria	rSA5zEBTUb4nNhY79w	23424750	Austria	490	1	0.000002
d7mZnqRUVrgLfxw	542098	16	0	48.216985	16.331735				vyIUe41UV7uao.Y	551801	Vienna	TjMOcCdQUL.60NqK6g	12591699	Vienna	fcmfMChTUb4nZsOX	2344716	Vienna	rSA5zEBTUb4nNhY79w	23424750	Austria	491	1	0.000002
FESJtCRZVL7i2vk	864957	15	0	63.667578	8.299183				FESJtCRZVL7i2vk	864957	Titran	xb4Zfv5QUL93_JacRg	12592782	Frøya Kommune	5NDAeBhTUb7m3N91	2346399	Sor-Trondelag	.w.HEL1TUb59cTCREg	23424910	Norway	492	1	0.000002
eeHPaytTUrsbo5ErqQ	20150540	15	0	41.862401	12.521173				uijRnjBWULsQTwc	721943	Rome	ulFfr5NQUL_oGbguvQ	12591802	Rome	Txy_tk1WU79uo4MR	7153336	Lazio	5QqgvRVTUb7tSzaDpQ	23424853	Italy	493	1	0.000003
_S54UHZTUrqHSJJAvQ	20089532	16	0	51.504802	-0.353021				hP_s5s9VVr5Qcg	44418	London	RcWoHEVTUb4U88DIPw	23416974	Greater London	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	494	2	0.000004
_8WNW1ZQULwHkltEwQ	12692406	16	0	40.975305	-5.674202				_8WNW1ZQULwHkltEwQ	12692406	Salamanca	GriQ3FNQULxDBkXM0g	12602119	Salamanca	OTZEH69QUL.4uFJGYQ	12578033	Castille and Leon	oVKj1ohTUb5V1poSBg	23424950	Spain	495	1	0.000003
CSiUxjxTUbyocmbV	2363519	16	0	35.923897	-78.810617				CSiUxjxTUbyocmbV	2363519	Bethesda	.gAsXqpQUL_DsgX4Qg	12589405	Durham	3Xw_xEBTUb5puUMm	2347592	North Carolina	nz.gsghTUb4c2WAecA	23424977	United States	496	1	0.000003
elpVtSVTUbOFvqfV	2391188	14	0	47.419899	-121.444008				elpVtSVTUbOFvqfV	2391188	Denny Creek	e4JdbCFQUL8iSf0rtg	12590456	King	jyADg3RTUb65Hnbj	2347606	Washington	nz.gsghTUb4c2WAecA	23424977	United States	497	1	0.000002
TdikohFTUb7CtfSv	2347707	11	0	20.835069	106.941776										TdikohFTUb7CtfSv	2347707	Hai Phong	WnHhXGpTUb51gvRgFg	23424984	Vietnam	498	1	0.000003
ab2HSo9TUL3wztxlQg	22723876	14	0	-33.444459	-70.670585				V88FLiNSVrPbbYE	349859	Santiago	2oBcNG9TVL1vPOPB6A	26794015	Santiago Province	t0U.tqZTUb4y2ezQ	2345029	Santiago Metropolitan Region	FvjOFOJTUb63qNmf5g	23424782	Chile	499	1	0.000002
oJx.OydQULxlAGf7Zg	12682837	14	0	46.931334	9.774205				oJx.OydQULxlAGf7Zg	12682837	Luzein	s49Hfh1QUL8GiT0NUw	12593144	Prättigau/Davos	5iW1.IxTUb4Temvu	2347091	Canton of Graubunden	HfSZnNxTUb7.Mo5Vpg	23424957	Switzerland	500	1	0.000002
VnV_nEJWUL_PH4Y	725383	16	0	46.063293	13.235821				VnV_nEJWUL_PH4Y	725383	Udine	0jE1brJQUL9emlj.vQ	12591873	Udine	aqlMVzNWU7.UyAwA	7153335	Friuli-Venezia Giulia	5QqgvRVTUb7tSzaDpQ	23424853	Italy	501	1	0.000002
